Index,Wert
1889,32.0
1890,30.0
1891,46.0
1892,42.0
1893,38.0
1894,29.0
1895,31.0
1896,31.0
1897,36.0
1898,40.0
1899,49.0
1900,42.0
1901,36.0
1902,39.0
1903,29.0
1904,42.0
1905,49.0
1906,50.0
1907,56.0
1908,52.0
1909,50.0
1910,52.0
1911,46.0
1912,42.0
1913,42.0
1914,38.0
1915,39.0
1916,40.0
1917,32.0
1918,30.0
1919,43.0
1920,54.0
1921,46.0
1922,49.0
1923,57.0
1924,57.0
1925,54.0
1926,41.0
1927,48.0
1928,54.0
1929,51.0
1930,51.0
1931,50.0
1932,48.0
1933,50.0
1934,49.0
1935,47.0
1936,44.0
1937,36.0
1938,43.0
1939,30.0
1940,25.0
1941,25.0
1942,31.0
1943,30.0
1944,32.0
1945,25.0
1946,24.0
1947,23.0
1948,32.0
1949,38.0
1950,35.0
1951,31.0
1952,26.0
1953,19.0
1954,31.0
1955,24.0
1956,38.0
1957,26.0
1958,23.0
1959,41.0
1960,44.0
1961,45.0
1962,35.0
1963,34.0
1964,37.0
1965,31.0
1966,22.0
1967,26.0
1968,30.0
1969,26.0
1970,26.0
1971,16.0
1972,18.0
1973,23.0
1974,48.0
1975,42.0
1976,37.0
1977,29.0
1978,22.0
1979,53.0
1980,51.0
1981,47.0
1982,50.0
1983,45.0
1984,44.0
1985,41.0
1986,39.0
1987,39.0
1988,41.0
1989,36.0
1990,29.0
1991,21.0
1992,34.0
1993,45.0
1994,50.0
1995,55.0
1996,53.0
1997,49.0
1998,42.0
1999,43.0
2000,47.0
2001,39.0
2002,33.0
2003,25.0
2004,28.0
2005,29.0
2006,34.0
2007,41.0
2008,34.0
2009,33.0
2010,29.0
2011,22.0
2012,43.0
2013,34.0
2014,44.0
2015,38.0
2016,28.0
2017,23.0
2018,38.0
2019,32.0
2020,26.0
2021,24.0
2022,19.0
2023,23.0
2024,24.0
2025,44.0
2026,37.0
2027,33.0
2028,27.0
2029,20.0
2030,34.0
2031,32.0
2032,44.0
2033,47.0
2034,40.0
2035,29.0
2036,42.0
2037,47.0
2038,38.0
2039,43.0
2040,42.0
2041,37.0
2042,33.0
2043,33.0
2044,29.0
2045,32.0
2046,35.0
2047,41.0
2048,41.0
2049,40.0
2050,37.0
2051,35.0
2052,37.0
2053,43.0
2054,43.0
2055,36.0
2056,35.0
2057,55.0
2058,50.0
2059,53.0
2060,53.0
2061,50.0
2062,49.0
2063,42.0
2064,41.0
2065,46.0
2066,45.0
2067,44.0
2068,40.0
2069,36.0
2070,40.0
2071,42.0
2072,48.0
2073,39.0
2074,37.0
2075,40.0
2076,37.0
2077,32.0
2078,25.0
2079,25.0
2080,29.0
2081,32.0
2082,37.0
2083,31.0
2084,23.0
